Run, Accuracy, Recall, Balanced Score
1, 0.8846153846153846, 0.9618919183559107, 0.7692307692307693
2, 0.7859960552268245, 0.9098250086983721, 0.7051282051282051
3, 0.8599605522682446, 0.9551055336321261, 0.7307692307692308
4, 0.8451676528599606, 0.9465272400461331, 0.7692307692307692
5, 0.9191321499013807, 0.9753510165842477, 0.8974358974358975
6, 0.9467455621301776, 0.982496593570173, 0.8333333333333333
7, 0.9556213017751479, 0.9862343363813914, 0.8717948717948718
8, 0.8905325443786982, 0.9612113753541258, 0.782051282051282
9, 0.8757396449704142, 0.9609618587001877, 0.8333333333333334
10, 0.9063116370808678, 0.9685230960605855, 0.8205128205128205
11, 0.8895463510848126, 0.9320947634660322, 0.8461538461538461
12, 0.8155818540433926, 0.9074289076591364, 0.782051282051282
13, 0.9003944773175542, 0.9706630467896449, 0.858974358974359
14, 0.9112426035502958, 0.9678305774059944, 0.8461538461538463
15, 0.8895463510848126, 0.9610064332784358, 0.8333333333333333
16, 0.9536489151873767, 0.9832186598064926, 0.9358974358974359
17, 0.7879684418145956, 0.9233058783266521, 0.6666666666666666
18, 0.8698224852071006, 0.9590943770898763, 0.717948717948718
19, 0.8510848126232742, 0.9471659326373993, 0.8333333333333333
20, 0.9309664694280079, 0.9792238846045049, 0.8846153846153846
21, 0.8323471400394477, 0.9382463504459042, 0.6282051282051282
22, 0.9082840236686391, 0.9712054196606114, 0.8333333333333333
23, 0.9595660749506904, 0.9866282544853333, 0.8846153846153846
24, 0.8500986193293886, 0.9537574091571074, 0.6538461538461539
25, 0.8984220907297831, 0.966119793381874, 0.8076923076923077
26, 0.8895463510848126, 0.9629759312604274, 0.7051282051282051
27, 0.8895463510848126, 0.9613079232223818, 0.782051282051282
28, 0.8560157790927021, 0.9506625513686716, 0.782051282051282
29, 0.7613412228796843, 0.9130583004280929, 0.6538461538461539
30, 0.9122287968441815, 0.9701516043829399, 0.8076923076923077
31, 0.9142011834319527, 0.9714451267911566, 0.8461538461538463
32, 0.846153846153846, 0.9550764382387446, 0.6794871794871795
33, 0.9585798816568047, 0.9866404871542156, 0.8461538461538463
34, 0.8451676528599604, 0.9545358030842103, 0.782051282051282
35, 0.8836291913214991, 0.9642184396912548, 0.717948717948718
36, 0.9457593688362919, 0.9839453893264323, 0.858974358974359
37, 0.928007889546351, 0.9752528583246642, 0.8333333333333334
38, 0.9132149901380671, 0.9716457487972188, 0.8076923076923077
39, 0.8668639053254438, 0.9466283280660523, 0.7948717948717949
40, 0.8372781065088757, 0.9344057102633336, 0.7307692307692308
41, 0.9506903353057199, 0.9851690265087983, 0.8717948717948718
42, 0.9063116370808678, 0.9682426212379882, 0.7692307692307692
43, 0.9102564102564102, 0.9717670394701038, 0.858974358974359
44, 0.9349112426035503, 0.976852598566497, 0.8717948717948718
45, 0.8668639053254437, 0.9566301536184644, 0.8461538461538461
46, 0.9191321499013807, 0.9748681294330312, 0.7948717948717949
47, 0.8836291913214991, 0.9573086261111021, 0.782051282051282
48, 0.8816568047337278, 0.9631904926628652, 0.6923076923076923
49, 0.8570019723865878, 0.9501328328198915, 0.7564102564102564
50, 0.7988165680473372, 0.8991602692332779, 0.7435897435897436
